vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,4300,27.8,371.272,29.2465558052063
10000,31622,1400,28.1,361.636,8.9935839176178
10000,10000,644.628,28.1,337.756,3.13451457023621
10000,3162,327.288,28.1,327.288,1.27454257011414
10000,1000,314.824,28.1,311.524,0.70443868637085
10000,316,311.524,28.1,311.524,0.517869710922241
10000,100,277.412,28.1,277.412,0.465859889984131
1000,100000,603.4,28.2,594.504,1.91505265235901
1000,31622,579.024,29.8,570.516,0.877992630004883
1000,10000,562.644,29.8,562.644,0.577443838119507
1000,3162,554.16,29.8,513.492,0.482195854187012
1000,1000,513.492,29.8,513.492,0.450917959213257
1000,316,513.492,29.8,513.492,0.440250873565674
1000,100,513.492,29.8,513.492,0.437401533126831
100,100000,389.576,30,312.436,0.899592638015747
100,31622,312.436,30,312.436,0.572186708450317
100,10000,312.436,30,312.436,0.482271671295166
100,3162,312.436,30,272.224,0.453563213348389
100,1000,272.224,30,179.16,0.445438146591187
100,316,179.16,30,179.16,0.441932439804077
100,100,179.16,30,179.16,0.437976598739624
