vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,3900,27.8,3900,28.8394203186035
10000,31622,3900,28.1,3900,8.79982566833496
10000,10000,3900,28.1,3900,3.11061787605286
10000,3162,3900,28.1,3900,1.28368234634399
10000,1000,3900,28.1,3900,0.705925703048706
10000,316,3900,28.1,3900,0.526842355728149
10000,100,3900,28.1,3900,0.467042207717896
1000,100000,3900,28.2,3900,1.81980514526367
1000,31622,3900,29.8,3900,0.869598388671875
1000,10000,3900,29.8,3900,0.577771663665771
1000,3162,3900,29.8,3900,0.490499973297119
1000,1000,3900,29.8,3900,0.456478118896484
1000,316,3900,29.8,3900,0.445214986801147
1000,100,3900,29.8,3900,0.443337202072144
100,100000,3900,30,3900,0.887188911437988
100,31622,3900,30,3900,0.578701496124268
100,10000,3900,30,3900,0.486234188079834
100,3162,3900,30,3900,0.456457138061523
100,1000,3900,30,3900,0.446829795837402
100,316,3900,30,3900,0.444586038589478
100,100,3900,30,3900,0.441772699356079
