vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,75.932,27.8,76.06,0.439533233642578
100,316,76.06,28.1,76.06,0.439568758010864
100,1000,76.06,28.1,76.06,0.439331293106079
100,3162,76.06,28.1,76.06,0.4509117603302
100,10000,76.06,28.1,76.06,0.47838020324707
100,31622,84.876,28.1,73.704,0.581966400146484
100,100000,116.392,28.1,88.976,0.905070781707764
1000,100,88.976,28.2,88.976,0.43610143661499
1000,316,88.996,29.8,88.996,0.439502716064453
1000,1000,88.996,29.8,88.996,0.45249080657959
1000,3162,88.996,29.8,88.996,0.48029613494873
1000,10000,121.84,29.8,107.816,0.58623194694519
1000,31622,223.96,29.8,107.76,0.978352069854736
1000,100000,499.68,29.8,420.84,2.1321804523468
10000,100,420.84,30,420.84,0.461752653121948
10000,316,420.84,30,420.84,0.522085666656494
10000,1000,420.84,30,420.84,0.706466436386108
10000,3162,420.84,30,420.84,1.28145599365234
10000,10000,467.072,30,420.84,3.24208188056946
10000,31622,1300,30,420.84,9.41484212875366
10000,100000,3800,30,420.84,28.6868295669556
