vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,88.524,27.8,88.652,0.440648078918457
100,316,88.652,28.1,88.652,0.440573930740356
100,1000,88.652,28.1,88.652,0.439315795898438
100,3162,88.652,28.1,88.576,0.448324203491211
100,10000,90.624,28.1,90.624,0.483290195465088
100,31622,102.912,28.1,94.6,0.579609394073486
100,100000,137.612,28.1,94.436,0.868400573730469
1000,100,94.436,28.2,94.024,0.434914588928223
1000,316,94.044,29.8,94.044,0.44188928604126
1000,1000,94.044,29.8,92.14,0.449912548065186
1000,3162,100.372,29.8,100.372,0.483513355255127
1000,10000,137.772,29.8,137.772,0.575943470001221
1000,31622,223.628,29.8,223.628,0.929210662841797
1000,100000,516.9,29.8,516.9,1.99915504455566
10000,100,518.968,30,518.968,0.466330051422119
10000,316,516.772,30,501.844,0.52872633934021
10000,1000,520.98,30,495.352,0.715787649154663
10000,3162,517.076,30,298.412,1.27939820289612
10000,10000,686.436,30,219.996,3.20003032684326
10000,31622,1400,30,332.072,9.09270620346069
10000,100000,4300,30,380.484,27.9146537780762
