vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,85.348,27.8,85.616,0.448724269866943
100,316,85.688,28.1,85.692,0.449155330657959
100,1000,85.692,28.1,85.704,0.44592809677124
100,3162,85.728,28.1,85.728,0.451743125915527
100,10000,85.768,28.1,85.768,0.485271692276001
100,31622,95.24,28.1,95.24,0.587782382965088
100,100000,126.088,28.1,126.088,0.892868041992188
1000,100,126.088,28.2,126.088,0.441706895828247
1000,316,126.752,29.8,126.752,0.454015016555786
1000,1000,126.756,29.8,126.756,0.457228660583496
1000,3162,126.76,29.8,126.76,0.483906269073486
1000,10000,131.988,29.8,131.988,0.578182935714722
1000,31622,217.452,29.8,217.452,0.955817937850952
1000,100000,491.588,29.8,491.588,2.06676864624023
10000,100,491.588,30,491.588,0.475013017654419
10000,316,491.588,30,491.588,0.524072647094727
10000,1000,492.428,30,492.428,0.708978176116943
10000,3162,492.428,30,492.428,1.28129124641418
10000,10000,492.792,30,492.792,3.21486234664917
10000,31622,1300,30,1300,9.25996780395508
10000,100000,3900,30,3900,28.0099895000458
